Line Group.1 Group.2 x weekmax weekmin e abnm
616 33 2011 1881428.57142857 1900000 1870000 NA 2.26699087538651
617 34 2011 1891428.57142857 1900000 1870000 NA 2.63324774522828
618 35 2011 1804285.71428571 1860000 1750000 NA 2.37393922412146
619 36 2011 1707142.85714286 1730000 1690000 NA 1.9941915426624
620 37 2011 1614285.71428571 1670000 1570000 NA 1.7166770090558
621 38 2011 1550000 1570000 1530000 NA 1.43997929388842
622 39 2011 1525714.28571429 1540000 1500000 NA 1.2388900043998
623 40 2011 1587142.85714286 1700000 1490000 NA 1.15135152724821
624 41 2011 1868571.42857143 1990000 1740000 NA 1.51345757053073
625 42 2011 2144285.71428571 2250000 2030000 NA 1.50741503810957
626 43 2011 2368571.42857143 2450000 2280000 NA 1.3697641001606
627 44 2011 2535714.28571429 2560000 2480000 NA 1.29078233419476
628 45 2011 2554285.71428571 2560000 2550000 NA 1.39900343057721
629 46 2011 2560000 2560000 2560000 NA 1.39677704830448
630 47 2011 2568571.42857143 2580000 2550000 NA 1.24525089253737
631 48 2011 2578571.42857143 2580000 2570000 NA 1.19694013144689
632 49 2011 2580000 2600000 2570000 NA 0.738046163170636
633 50 2011 2628571.42857143 2640000 2610000 NA 0.375023024356077
634 51 2011 2668571.42857143 2750000 2630000 NA -0.130286766926319
635 52 2011 2860000 2930000 2780000 NA 0.10539948229133
636 53 2011 2990000 3010000 2970000 NA 0.155931324061107
637 1 2012 3103333.33333333 3130000 3050000 NA 0.0915106421625035
638 2 2012 3087142.85714286 3100000 3070000 NA -0.72991599537376
639 3 2012 3098571.42857143 3110000 3080000 NA -1.0009461065034
640 4 2012 3101428.57142857 3110000 3090000 NA -1.22102257706931
641 5 2012 3121428.57142857 3130000 3100000 NA -1.54522581119865
642 6 2012 3142857.14285714 3170000 3130000 NA -1.81418595009652
643 7 2012 3221428.57142857 3260000 3190000 NA -1.75589111319753
644 8 2012 3354285.71428571 3430000 3280000 NA -1.60536849740084
645 9 2012 3505714.28571429 3520000 3460000 NA -1.20642012850715
646 10 2012 3451428.57142857 3510000 3400000 NA -1.16835987473629
647 11 2012 3344285.71428571 3400000 3290000 NA -1.34272740183906
648 12 2012 3282857.14285714 3310000 3270000 NA -1.34537370534267
649 13 2012 3444285.71428571 3640000 3340000 NA -1.13759953238384
650 14 2012 4087142.85714286 4420000 3760000 NA 0.285907441445083
651 15 2012 4702857.14285714 4810000 4520000 NA 2.16322892727121
652 16 2012 4450000 4650000 4320000 NA 1.82137811975144
653 17 2012 4261428.57142857 4310000 4190000 NA 1.57009213116853
654 18 2012 4060000 4170000 3930000 NA 1.57652508456016
